TD005	2026-04-16T18:55:00	SS003	Screenshot workaround provided to customer. Issue resolved on-site.
PR001	2026-04-10T10:00:00	C101	Created problem ticket - Title: Website Crashes on Checkout, Priority: Critical
PR001	2026-04-10T10:45:00	SS001	Critical bug escalated to engineering. Memory overflow in checkout module identified. Fix ETA 2 hours.
PR001	2026-04-10T15:00:00	SS001	Resolution steps provided: Engineering deployed hotfix for checkout memory overflow. Users advised to clear cache and retry.
PR001	2026-04-10T15:15:00	SS001	Issue resolved and confirmed by customer. Ticket closed.
PR002	2026-04-10T11:30:00	C102	Created problem ticket - Title: Purchased Tickets Not in Account, Priority: High
PR002	2026-04-10T12:15:00	SS002	Payment confirmed. Database sync issue identified. Manual sync forced for affected booking.
PR002	2026-04-10T13:00:00	SS002	Resolution steps provided: Forced database sync. Customer advised to log out and back in to refresh account data.
PR002	2026-04-10T13:20:00	SS002	Customer confirmed tickets are now visible. Ticket closed.
PR003	2026-04-10T12:15:00	C103	Created problem ticket - Title: Discount Code Not Applying, Priority: Medium
PR003	2026-04-10T13:00:00	SS003	Bug identified - discount code field on cart page not functioning. Workaround provided via payment step entry.
PR003	2026-04-10T14:00:00	SS003	Status updated to IN_PROGRESS. Bug report submitted to development team for fix.
PR004	2026-04-10T14:45:00	C104	Created problem ticket - Title: Search Filter Not Working, Priority: Low
PR004	2026-04-10T15:30:00	SS002	Bug reproduced and confirmed across all browsers. Logged with development team.
PR004	2026-04-10T16:00:00	M001	PR004 bug confirmed. Engineering team assigned. ETA for fix is next sprint.
PR005	2026-04-13T09:00:00	C109	Created problem ticket - Title: Profile Picture Upload Failing, Priority: Low
PR005	2026-04-13T09:45:00	SS001	JPG validation bug reproduced and confirmed. Flagged to engineering. Customer notified.
PR006	2026-04-14T16:30:00	C111	Created problem ticket - Title: Newsletter Unsubscribe Not Working, Priority: Low
PR006	2026-04-14T17:15:00	SS003	Customer manually removed from all mailing lists. Unsubscribe endpoint bug submitted as bug report.
PR006	2026-04-14T17:45:00	SS003	Resolution steps provided: User removed from mailing lists manually. Bug report submitted to fix unsubscribe endpoint for all users.
PR006	2026-04-14T18:00:00	SS003	Status updated to IN_PROGRESS. Customer confirmed no more emails received.
PR007	2026-04-15T09:00:00	C112	Created problem ticket - Title: Double Booking on Same Date, Priority: High
PR007	2026-04-15T09:45:00	SS002	Double booking confirmed - race condition during high-traffic period. Duplicate voided and refund initiated.
PR007	2026-04-15T10:30:00	SS002	Resolution steps provided: Race condition identified in seat locking mechanism. Duplicate booking BKG-20260415-002 voided. Refund initiated. Valid booking confirmed.
PR007	2026-04-15T11:00:00	M001	Incident reviewed. Engineering team briefed on race condition. Ticket closed.
CR001	2026-04-09T09:30:00	C103	Created change request ticket - Title: Seat Change Request - Concert April 25, Priority: Medium
CR001	2026-04-09T10:00:00	SS002	Seat availability checked. Orchestra Center Row A Seat 5 confirmed available.
CR001	2026-04-09T11:00:00	SS002	Seat change completed from Row C Seat 12 to Orchestra Center A5. Updated ticket emailed to customer. Ticket closed.
CR002	2026-04-11T08:00:00	C101	Created change request ticket - Title: Reschedule Tickets to Evening Show, Priority: Low
CR002	2026-04-11T08:45:00	SS003	Evening 7 PM slot confirmed available. No extra charge applied.
CR002	2026-04-11T09:20:00	SS003	Tickets updated to 7 PM showing on April 16. New e-tickets sent. Ticket closed.
CR003	2026-04-13T13:00:00	C104	Created change request ticket - Title: Change Booking Date by One Week, Priority: Medium
CR003	2026-04-13T13:45:00	SS001	April 27 seats confirmed available for same show. Booking date change initiated.
TK001	2026-04-10T09:00:00	C101	Created general ticket - Title: How to Share Tickets with Friends, Priority: Low
TK001	2026-04-10T10:00:00	SS001	Ticket transfer instructions provided. Customer acknowledged.
TK002	2026-04-10T13:20:00	C103	Created general ticket - Title: Group Booking Discount Enquiry, Priority: Low
TK002	2026-04-10T14:00:00	SS001	Group discount tiers explained. Customer connected with corporate events coordinator. Ticket closed.
TK003	2026-04-12T10:45:00	C102	Created general ticket - Title: Loyalty Points Balance Enquiry, Priority: Low
TK003	2026-04-12T11:30:00	SS002	Missing points identified due to system migration gap Jan-Mar 2026. 480 points manually credited. Total balance corrected to 630 points.
RF008	2026-04-18T02:31:34.725417100	SS003	Comment: No refund for u :D
RF008	2026-04-18T02:34:54.035249500	C112	Comment: :(
RF008	2026-04-18T02:49:55.243393800	C112	Ticket closed by customer (issue resolved).
RF005	2026-04-18T03:04:48.453284	SS003	Comment: The ticket will be closed then, thanks!
RF005	2026-04-18T03:16:34.412473300	SS003	Status changed from OPEN to CLOSED
RF005	2026-04-18T03:16:34.425850500	SS003	Comment: Ticket status changed to: CLOSED
RF008	2026-04-18T03:43:29.641600900	M001	Assigned to tommypark: why not
RF001	2026-04-18T06:38:58.418796600	C112	Comment: Nice
